
 loss 0.287, Acc@1 90.678


 loss 0.299, Acc@1 87.288


 loss 0.318, Acc@1 83.898


 loss 0.300, Acc@1 85.593


 loss 0.299, Acc@1 87.288


 loss 0.296, Acc@1 89.831


 loss 0.345, Acc@1 85.593


 loss 0.286, Acc@1 89.831


 loss 0.291, Acc@1 88.983


 loss 0.293, Acc@1 88.983


 loss 0.291, Acc@1 88.136


 loss 0.292, Acc@1 89.831


 loss 0.284, Acc@1 88.136


 loss 0.283, Acc@1 90.678


 loss 0.276, Acc@1 88.983


 loss 0.273, Acc@1 88.983


 loss 0.278, Acc@1 89.831


 loss 0.273, Acc@1 88.983


 loss 0.266, Acc@1 88.983


 loss 0.301, Acc@1 86.441


 loss 0.289, Acc@1 88.983


 loss 0.290, Acc@1 88.136


 loss 0.267, Acc@1 90.678


 loss 0.287, Acc@1 86.441


 loss 0.281, Acc@1 88.983


 loss 0.292, Acc@1 86.441


 loss 0.279, Acc@1 89.831


 loss 0.284, Acc@1 88.983


 loss 0.294, Acc@1 88.983


 loss 0.287, Acc@1 88.983


 loss 0.304, Acc@1 88.983


 loss 0.316, Acc@1 87.288


 loss 0.293, Acc@1 88.136


 loss 0.286, Acc@1 88.983


 loss 0.295, Acc@1 89.831


 loss 0.291, Acc@1 88.983


 loss 0.285, Acc@1 88.983


 loss 0.287, Acc@1 88.136


 loss 0.282, Acc@1 87.288


 loss 0.286, Acc@1 88.136


 loss 0.292, Acc@1 88.983


 loss 0.289, Acc@1 85.593


 loss 0.295, Acc@1 88.136


 loss 0.287, Acc@1 88.983


 loss 0.284, Acc@1 88.983


 loss 0.294, Acc@1 89.831


 loss 0.289, Acc@1 89.831


 loss 0.281, Acc@1 88.136


 loss 0.292, Acc@1 88.136


 loss 0.302, Acc@1 88.983


 loss 0.280, Acc@1 89.831


 loss 0.276, Acc@1 88.136


 loss 0.278, Acc@1 88.983


 loss 0.282, Acc@1 88.983


 loss 0.298, Acc@1 88.983


 loss 0.304, Acc@1 88.136


 loss 0.326, Acc@1 88.136


 loss 0.294, Acc@1 88.136


 loss 0.293, Acc@1 87.288


 loss 0.286, Acc@1 88.983


 loss 0.288, Acc@1 89.831


 loss 0.288, Acc@1 88.136


 loss 0.292, Acc@1 87.288


 loss 0.294, Acc@1 87.288


 loss 0.304, Acc@1 86.441


 loss 0.301, Acc@1 86.441


 loss 0.317, Acc@1 86.441


 loss 0.310, Acc@1 88.136


 loss 0.305, Acc@1 85.593


 loss 0.291, Acc@1 88.983


 loss 0.310, Acc@1 88.136


 loss 0.298, Acc@1 88.983


 loss 0.289, Acc@1 88.983


 loss 0.268, Acc@1 88.983


 loss 0.281, Acc@1 88.983


 loss 0.284, Acc@1 87.288


 loss 0.300, Acc@1 88.136


 loss 0.276, Acc@1 89.831


 loss 0.286, Acc@1 88.983


 loss 0.282, Acc@1 88.983


 loss 0.274, Acc@1 89.831


 loss 0.267, Acc@1 89.831


 loss 0.270, Acc@1 88.983


 loss 0.267, Acc@1 89.831


 loss 0.295, Acc@1 89.831


 loss 0.284, Acc@1 88.983


 loss 0.292, Acc@1 88.136


 loss 0.289, Acc@1 87.288


 loss 0.288, Acc@1 88.136


 loss 0.272, Acc@1 88.983


 loss 0.278, Acc@1 88.983


 loss 0.292, Acc@1 88.136


 loss 0.287, Acc@1 89.831


 loss 0.304, Acc@1 86.441


 loss 0.298, Acc@1 87.288


 loss 0.287, Acc@1 87.288


 loss 0.274, Acc@1 88.983


 loss 0.294, Acc@1 87.288


 loss 0.284, Acc@1 88.983


 loss 0.298, Acc@1 87.288


 loss 0.316, Acc@1 86.441


 loss 0.285, Acc@1 88.136


 loss 0.285, Acc@1 88.983


 loss 0.283, Acc@1 87.288


 loss 0.287, Acc@1 88.136


 loss 0.291, Acc@1 88.136


 loss 0.304, Acc@1 87.288


 loss 0.281, Acc@1 88.983


 loss 0.313, Acc@1 86.441


 loss 0.320, Acc@1 86.441


 loss 0.313, Acc@1 87.288


 loss 0.308, Acc@1 87.288


 loss 0.288, Acc@1 88.136


 loss 0.293, Acc@1 88.983


 loss 0.302, Acc@1 87.288


 loss 0.295, Acc@1 88.983


 loss 0.289, Acc@1 87.288


 loss 0.293, Acc@1 87.288


 loss 0.298, Acc@1 88.983


 loss 0.288, Acc@1 88.136


 loss 0.288, Acc@1 88.136


 loss 0.296, Acc@1 88.136


 loss 0.290, Acc@1 88.983


 loss 0.286, Acc@1 87.288


 loss 0.288, Acc@1 88.983


 loss 0.296, Acc@1 88.983


 loss 0.289, Acc@1 87.288


 loss 0.295, Acc@1 88.983


 loss 0.293, Acc@1 88.136


 loss 0.280, Acc@1 88.983


 loss 0.269, Acc@1 90.678


 loss 0.270, Acc@1 87.288


 loss 0.270, Acc@1 88.983


 loss 0.297, Acc@1 86.441


 loss 0.293, Acc@1 86.441


 loss 0.282, Acc@1 88.136


 loss 0.271, Acc@1 89.831


 loss 0.274, Acc@1 88.983


 loss 0.275, Acc@1 88.983


 loss 0.279, Acc@1 86.441


 loss 0.281, Acc@1 87.288


 loss 0.281, Acc@1 88.136


 loss 0.268, Acc@1 90.678


 loss 0.286, Acc@1 87.288


 loss 0.298, Acc@1 87.288


 loss 0.309, Acc@1 86.441


 loss 0.280, Acc@1 88.983


 loss 0.275, Acc@1 88.136


 loss 0.276, Acc@1 89.831


 loss 0.281, Acc@1 89.831


 loss 0.282, Acc@1 89.831


 loss 0.273, Acc@1 89.831


 loss 0.271, Acc@1 89.831


 loss 0.285, Acc@1 87.288


 loss 0.290, Acc@1 88.983


 loss 0.280, Acc@1 87.288


 loss 0.288, Acc@1 88.136


 loss 0.289, Acc@1 89.831


 loss 0.274, Acc@1 89.831


 loss 0.270, Acc@1 89.831


 loss 0.278, Acc@1 89.831


 loss 0.282, Acc@1 88.983


 loss 0.280, Acc@1 88.136


 loss 0.279, Acc@1 89.831


 loss 0.280, Acc@1 88.983


 loss 0.275, Acc@1 90.678


 loss 0.268, Acc@1 90.678


 loss 0.279, Acc@1 88.983


 loss 0.278, Acc@1 88.983


 loss 0.281, Acc@1 88.136


 loss 0.291, Acc@1 88.983


 loss 0.303, Acc@1 86.441


 loss 0.279, Acc@1 88.983


 loss 0.291, Acc@1 87.288


 loss 0.280, Acc@1 88.136

